id,lecture_id,question,time,created_at,updated_at,hide,question_type,quiz_type,group_id,course_id,start_time,end_time,inclass,graded,display_text,intro,self,in_group,discussion,xcoor,ycoor,height,width
88438,55462,"<p class=""medium-editor-p"">QE3.12.1</p>",26.371145,2020-01-20 11:19:40,2020-01-20 11:19:47,true,OCQ,survey,17151,4363,26.371145,26.371145,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88440,55462,"<p class=""medium-editor-p"">QE3.13.1</p>",28.014244,2020-01-20 11:20:19,2020-01-20 11:20:26,true,OCQ,survey,17151,4363,28.014244,28.014244,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88458,55462,"<p class=""medium-editor-p"">QE3.22.1</p>",45.502643,2020-01-20 11:26:45,2020-01-20 11:26:57,true,OCQ,survey,17151,4363,45.502643,45.502643,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88459,55462,"<p class=""medium-editor-p"">QE3.22.2</p>",46.352278,2020-01-20 11:27:41,2020-01-20 11:27:48,true,OCQ,survey,17151,4363,46.352278,46.352278,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88436,55462,"<p class=""medium-editor-p"">QE3.11.1</p>",24.50194,2020-01-20 11:19:06,2020-01-20 11:19:13,true,OCQ,survey,17151,4363,24.50194,24.50194,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88462,55462,"<p class=""medium-editor-p"">QE3.24.1</p>",48.851413,2020-01-20 11:28:35,2020-01-20 11:28:40,true,OCQ,survey,17151,4363,48.851413,48.851413,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87458,54555,"<p class=""medium-editor-p"">QE2.25</p>",60.730956,2020-01-13 12:37:16,2020-02-24 10:19:00,true,OCQ,survey,17151,4363,60.730956,60.730956,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88437,55462,"<p class=""medium-editor-p"">QE3.11.2</p>",25.194604,2020-01-20 11:19:23,2020-01-20 11:19:29,true,OCQ,survey,17151,4363,25.194604,25.194604,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88443,55462,"<p class=""medium-editor-p"">QE3.14.2</p>",30.871259,2020-01-20 11:21:12,2020-01-20 11:21:19,true,OCQ,survey,17151,4363,30.871259,30.871259,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88447,55462,"<p class=""medium-editor-p"">QE3.16.2</p>",34.647069,2020-01-20 11:22:28,2020-01-20 11:22:34,true,OCQ,survey,17151,4363,34.647069,34.647069,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88439,55462,"<p class=""medium-editor-p"">QE3.12.2</p>",26.972642,2020-01-20 11:19:58,2020-01-20 11:20:05,true,OCQ,survey,17151,4363,26.972642,26.972642,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88441,55462,"<p class=""medium-editor-p"">QE3.13.2</p>",28.94076,2020-01-20 11:20:37,2020-01-20 11:20:43,true,OCQ,survey,17151,4363,28.94076,28.94076,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88442,55462,"<p class=""medium-editor-p"">QE3.14.1</p>",30.129271,2020-01-20 11:20:55,2020-01-20 11:21:02,true,OCQ,survey,17151,4363,30.129271,30.129271,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88445,55462,"<p class=""medium-editor-p"">QE3.15.2</p>",32.94028,2020-01-20 11:21:50,2020-01-20 11:21:56,true,OCQ,survey,17151,4363,32.94028,32.94028,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88446,55462,"<p class=""medium-editor-p"">QE3.16.1</p>",33.900905,2020-01-20 11:22:11,2020-01-20 11:22:17,true,OCQ,survey,17151,4363,33.900905,33.900905,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88450,55462,"<p class=""medium-editor-p"">QE3.18.1</p>",37.723889,2020-01-20 11:23:31,2020-01-20 11:23:41,true,OCQ,survey,17151,4363,37.723889,37.723889,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88453,55462,"<p class=""medium-editor-p"">QE3.19.2</p>",40.307137,2020-01-20 11:24:41,2020-01-20 11:24:49,true,OCQ,survey,17151,4363,40.307137,40.307137,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
88456,55462,"<p class=""medium-editor-p"">QE3.21.1</p>",43.324615,2020-01-20 11:25:38,2020-01-20 11:25:45,true,OCQ,survey,17151,4363,43.324615,43.324615,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87437,54555,"<p class=""medium-editor-p"">QE2.5</p>",15.669589,2020-01-13 12:18:45,2020-02-24 10:18:46,true,OCQ,survey,17151,4363,15.669589,15.669589,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
87456,54555,"<p class=""medium-editor-p"">QE2.23</p>",55.882005,2020-01-13 12:25:46,2020-02-24 10:18:56,true,OCQ,survey,17151,4363,55.882005,55.882005,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
89685,53829,"<p class=""medium-editor-p"">QL8.35</p>",84.097969,2020-01-30 22:40:19,2020-02-03 11:43:43,false,OCQ,survey,17002,4363,84.097969,84.097969,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
89660,53829,"<p class=""medium-editor-p"">QL8.11</p>",34.977519,2020-01-30 22:30:18,2020-02-03 11:33:37,false,OCQ,survey,17002,4363,34.977519,34.977519,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
89663,53829,"<p class=""medium-editor-p"">QL8.14</p>",40.67244,2020-01-30 22:31:59,2020-02-03 11:34:57,false,OCQ,survey,17002,4363,40.67244,40.67244,false,true,false,120,120,120,120,0.0,0.9,0.1,0.5
